"","X.0.65217"
"1",-1.09409
"2",1.54867
"3",0.65359
"4",-0.64935
"5",0.87146
"6",3.45572
"7",2.92276
"8",-0.60851
"9",0.40816
"10",1.21951
"11",0.2008
"12",-0.4008
"13",-0.2012
"14",-1.20967
"15",-0.20408
"16",-2.24948
"17",1.88285
"18",0.82135
"19",-0.81466
"20",-1.02669
"21",-0.6224
"22",-0.20876
"23",0.20921
"24",-0.41753
"25",0.41929
"26",-0.83507
"27",0.8421
"28",-0.6263
"29",0
"30",0.42017
"31",0.20921
"32",-0.41753
"33",-0.20964
"34",-0.21008
"35",0
"36",-0.42105
"37",0.21142
"38",0
"39",0
"40",-1.89873
"41",0.21505
"42",0.21459
"43",0.85653
"44",0
"45",-0.84925
"46",1.2848
"47",1.69133
"48",1.4553
"49",0.40984
"50",-0.20408
"51",0
"52",-0.81799
"53",1.23711
"54",0.20367
"55",0.4065
"56",1.01215
"57",-0.2004
"58",0.40161
"59",-0.6
"60",-0.60362
"61",0.20243
"62",1.0101
"63",0.8
"64",1.78571
"65",-0.38986
"66",0.58708
"67",-0.77821
"68",-0.19607
"69",1.17878
"70",0.7767
"71",0.77071
"72",-0.76481
"73",0.77071
"74",1.52964
"75",3.01318
"76",0.73126
"77",-0.72595
"78",-1.09689
"79",0.73937
"80",0.73394
"81",-0.72859
"82",0.73394
"83",-0.36429
"84",-0.73126
"85",-0.55248
"86",-0.18518
"87",-1.2987
"88",-2.81954
"89",1.93423
"90",2.46679
"91",0.37037
"92",-0.738
"93",0.55762
"94",0
"95",1.10906
"96",1.09689
"97",1.08499
"98",-0.35778
"99",0
"100",0.5386
"101",1.96429
"102",0
"103",-0.35026
"104",1.05448
"105",0.86957
"106",0.68966
"107",0.17123
"108",0.8547
"109",1.52542
"110",0.66778
"111",-0.66334
"112",-0.50083
"113",-1.84563
"114",0.34188
"115",-0.34071
"116",-0.68376
"117",0.34423
"118",1.54374
"119",0
"120",0.67567
"121",0
"122",-0.16778
"123",0.5042
"124",0
"125",-0.50167
"126",0
"127",-0.5042
"128",-0.67567
"129",-1.0204
"130",-1.03092
"131",0.34722
"132",1.90311
"133",-0.67911
"134",-0.8547
"135",-0.17241
"136",0.86356
"137",-0.51369
"138",0
"139",-0.68846
"140",0
"141",0.17331
"142",0.34602
"143",1.03448
"144",-0.51194
"145",-0.34305
"146",-0.86058
"147",-0.86805
"148",0.70052
"149",0
"150",-0.34782
"151",0.69808
"152",0.86655
"153",0.34364
"154",-0.85616
"155",-1.20898
"156",0.87413
"157",-1.03986
"158",-1.92644
"159",-1.96428
"160",1.27505
"161",0.17986
"162",1.0772
"163",0.17762
"164",0.53191
"165",-1.0582
"166",-0.3565
"167",-1.07334
"168",0
"169",0
"170",-1.08499
"171",0.54845
"172",-1.0909
"173",-0.55147
"174",-1.66358
"175",-1.31578
"176",3.2381
"177",2.39852
"178",0.54054
"179",-1.25448
"180",0
"181",0.18149
"182",0.18116
"183",0.72333
"184",0
"185",-1.61579
"186",-0.18248
"187",-0.36563
"188",0
"189",-1.10091
"190",0
"191",-0.74211
"192",0.37383
"193",-0.37243
"194",0.18691
"195",0.18657
"196",1.11732
"197",0.92081
"198",-0.36496
"199",0.18315
"200",0.18282
"201",0.18248
"202",0.7286
"203",0
"204",-0.18083
"205",-0.18115
"206",-0.18148
"207",0.54545
"208",0.18083
"209",-0.54151
"210",0
"211",-1.08892
"212",0.36697
"213",0
"214",-1.82815
"215",0.37244
"216",-0.18552
"217",-0.92936
