"","X0.92379"
"1",0
"2",1.60183
"3",-0.67568
"4",-0.22676
"5",0.22727
"6",-0.45351
"7",0
"8",-0.22779
"9",-0.22831
"10",0.91533
"11",0.22676
"12",-0.22624
"13",-0.90703
"14",-2.28833
"15",-0.93677
"16",0.23641
"17",0.9434
"18",0
"19",0.70093
"20",-1.39211
"21",-0.47059
"22",-0.70922
"23",1.42857
"24",-1.87793
"25",-0.47847
"26",0.72115
"27",-0.23866
"28",-0.47847
"29",0.72115
"30",1.43198
"31",-0.94118
"32",0.23753
"33",0
"34",-1.18483
"35",0.71942
"36",-0.71429
"37",0.23981
"38",0.23923
"39",0
"40",-0.47733
"41",0.47962
"42",0.71599
"43",0.23697
"44",-0.23641
"45",-0.23697
"46",0
"47",-0.47506
"48",-0.23866
"49",0.7177
"50",-0.23753
"51",-1.66667
"52",0
"53",-1.21065
"54",0.2451
"55",1.46699
"56",0
"57",1.20482
"58",0
"59",0.95238
"60",0.4717
"61",-0.70423
"62",0
"63",0.47281
"64",1.41176
"65",1.16009
"66",0
"67",0.91743
"68",-0.90909
"69",1.6055
"70",0.45147
"71",-1.34831
"72",0.91116
"73",0.45147
"74",1.1236
"75",2.44444
"76",2.1692
"77",-0.84926
"78",-1.07066
"79",-1.2987
"80",1.75439
"81",-0.21552
"82",0.43197
"83",-0.21505
"84",-1.72414
"85",0.87719
"86",-0.43478
"87",-1.0917
"88",0
"89",-0.883
"90",-0.44543
"91",1.34228
"92",-0.66225
"93",2
"94",-0.43573
"95",-0.87527
"96",0.4415
"97",-0.43956
"98",-0.66225
"99",1.33333
"100",1.09649
