"","Investment","Income","Expenditure"
"1",180,451,415
"2",179,465,421
"3",185,485,434
"4",192,493,448
"5",211,509,459
"6",202,520,458
"7",207,521,479
"8",214,540,487
"9",231,548,497
"10",229,558,510
"11",234,574,516
"12",237,583,525
"13",206,591,529
"14",250,599,538
"15",259,610,546
"16",263,627,555
"17",264,642,574
"18",280,653,574
"19",282,660,586
"20",292,694,602
"21",286,709,617
"22",302,734,639
"23",304,751,653
"24",307,763,668
"25",317,766,679
"26",314,779,686
"27",306,808,697
"28",304,785,688
"29",292,794,704
"30",275,799,699
"31",273,799,709
"32",301,812,715
"33",280,837,724
"34",289,853,746
"35",303,876,758
"36",322,897,779
"37",635,2040,1774
"38",658,2070,1807
"39",675,2121,1831
"40",700,2132,1842
"41",692,2199,1890
"42",759,2253,1958
"43",782,2276,1948
"44",816,2318,1994
"45",844,2369,2061
"46",830,2423,2056
"47",853,2457,2102
"48",852,2470,2121
"49",315,922,798
"50",339,949,816
"51",364,979,837
"52",371,988,858
"53",375,1025,881
"54",432,1063,905
"55",453,1104,934
"56",460,1131,968
"57",475,1137,983
"58",496,1178,1013
"59",494,1211,1034
"60",498,1256,1064
"61",526,1290,1101
"62",519,1314,1102
"63",516,1346,1145
"64",531,1385,1173
"65",573,1416,1216
"66",551,1436,1229
"67",538,1462,1242
"68",532,1493,1267
"69",558,1516,1295
"70",524,1557,1317
"71",525,1613,1355
"72",519,1642,1371
"73",526,1690,1402
"74",510,1759,1452
"75",519,1756,1485
"76",538,1780,1516
"77",549,1807,1549
"78",570,1831,1567
"79",559,1873,1588
"80",584,1897,1631
"81",611,1910,1650
"82",597,1943,1685
"83",603,1976,1722
"84",619,2018,1752
"85",833,2521,2145
"86",860,2545,2164
"87",870,2580,2206
"88",830,2620,2225
"89",801,2639,2235
"90",824,2618,2237
"91",831,2628,2250
"92",830,2651,2271
